TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,Sha256 hash
,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothings: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience ;,f2957ded-022c-4b07-92c6-b345d4816a67,42847db0f937b2382d42e7f2706edd15773282fc2f33cc50b98831f35d2c1034
,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothings: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant;,09395e76-19ed-4852-8748-795ee7496a8e,f4f2218854020342a6bc3ed884cfab366565608a2277389b92689f50c9c970da
,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous;,4d94d4f7-9b69-4e43-9db1-1fe83df92857,01d6b5ea7d9b88b7ee1d7ecd7cef6d3ab9ef7d6e8828116d5b1b7298e908a73d
,26,saro-the-baller,saro the baller,Saro is a baller and is always ready to turnup,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothings: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable;,d35a7514-8996-42fb-a5f2-5a603ec679c5,05e48c52222c23820f804250bbe2f104394a469f0ef948f6704c985efbc94f37
,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothings: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination;,92984fa0-310b-4377-8a10-15965d044383,e1d593b404f62d6af7fc71b9e7520b12d4f930a4379bfc4549a446396ed42f5a
,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none clothings: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,a5b39b9e93a119fed942056b805bc4c6ef5d786973bbe202ea949ced49220997
,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothings: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible;,71a0aa22-d111-43b7-8484-43d87310bc42,c9e46d09d58848813010d84097efa138f21f0ebcafe6830ce29e64e5ce775138
,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothings: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance;,e493e3fb-a8a0-455a-854f-0f6474bbc69f,7cf84c99a97c6753d0a29dc346dcfd12c21d731dd9c2598ebcabb6728777f8ef
,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothings: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ;,942f8347-9932-4331-bd15-d0f3a048b54f,d9fe2fd7089133bde939c2713da6f85af0c0914f78ec9324bff98a622ae3e3df
,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothings: yellow; black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive;,0f1af056-2548-4407-bed4-abc11deae05d,fd240254932c0a9375776458f77955f30041130fce77be85cd8d9f9f21f175d5
,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair: none; eyes: black; teeth: none; clothings: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness;,0129e7a5-e3d0-4675-92d0-1a1e55d11612,3f512e0d7ab05f3b57f75d3d97167ee4a5aa7a94e7e59577e3b40db82603c3d4
,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience;,01d4ce96-818e-44b1-8813-68a7d34b35ba,a3846b9c388dcdec36979775335745253ba5954ebbfa202449085f83e25175ff
,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothings: kente accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy;,3a925f27-35f6-4dbf-9960-c6527fae5f3e,493d9eef6611a0466898a903ebac7754b205dd90a0aeb17889e0ffab2084ae0a
,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothings:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure;,71f335a6-5a4f-4410-9cea-179336f0e498,6f1fd7b0b4fc6b6c6603e93240cf72afb865929f003eb9c6d2300f68059c6e1d
,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothings: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist ;,35b11a31-5b92-49f4-8fb1-30f255d22054,e5a6c33c866a2437a672a247a1743b5471c2230c22c7bd8c52b638f8d77ba23f
,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothings: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive;,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,f256fb44f6ead572d930bd9d6b915b29e4db1e4143fdab24d023e78a05c3e45e
,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothings:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker;,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,d85ea0ec06ee227ad0f781dc4e6774e826e423044944044f9a03f654911ae1fb
,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothings: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,48514fdd128315861b2a380e1154e33ebfe602acd5909c472979898d96080eeb
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:food;,3344a73c-f15e-4afd-a1b2-3199e27eb08f,aed5ac1d17b3739ca120036115da3e72caf3ce73a17d2ba42065075ff0e57288
,42,barbra-stark,barbra stark,She loves drinking the blood of her victims.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:food;,4f31fd99-4918-42a9-a112-fa60ef36d5c6,7c502842e6654951ac756a4b09724e518bb003b62e47ac0aecd320acd787b83c
,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:creative; weakness:food;,5e1105d9-e485-462d-a5bf-1eb931976b13,df724d411f48669e4bbbbdd96c347f54c6637131e47190b04bbdb2197faef648
,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes:brown; teeth: gap; clothing: stripes; accessories:none; expression: frowning; strength:prayerful; weakness:food;,054dffd1-cdff-417b-b6c2-a679dabd087b,2911777af79a7dd28203878aeca62b648752fb28209db402c39606590201d53b
,45,jessie-lord-rings,jessie lord rings,She loves her  ( precious ) jewery.,Female,hair: blue; eyes:brown; teeth: none; clothing: satin; accessories:none; expression: smiling; strength:kind; weakness:shy;,caacabe1-0abc-43af-92e2-2231248bff93,9edd5031a3477333ad9fc2c59859ce5df20d28299721aba26d8229fef796ddbe
,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes:blue; teeth: none; clothing: linen; accessories:none; expression: smiling; strength:brave; weakness:chips;,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,b238c1ab1c4447f74c300d960e18d0fb67700411c6a960cfe25016ef2935b1a9
,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes:brown; teeth: none; clothing: wool; accessories:none; expression: smiling; strength:none; weakness:babies;,683f0d27-3cb4-4948-b1b5-09f10bee575a,4a32958f6417f4d93e0a2105d362c9e9a94a1381ade8f741e8380e23b13a1b35
,48,njoki-binary-coder,njoki binary coder,She codes with the best and tops the set.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:none; weakness:none;,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,957905744a938e11a1b35df54125ce882aef6562aeceb4ce5ff3a3f51cac11be
,49,wangu-calaba-hustler,wangu calaba hustler,She's a mean hustler so be careful.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:flying;,67f7da93-3925-4def-b660-58f558c14a19,bbbbd22aecfff4bfc949116570ef5db3da08709ed8b18cbb900fc713db9dc410
,50,lulu-dey-kpako,lulu dey kpako,She's as skinny as she is beautiful.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:loving; weakness:makeup;,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,c01354a18252d61e14395e060af695fd231e485e20cef2436d963e3deb5bed50
,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:kittens;,d24aefff-c9fc-4ea9-a7cf-1b741076c822,1e1b67b8c1d263880b91a5e39aab861dec6709de8b94c9de73546b61df6ea4c6
,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:clothes;,ee86ef77-4793-411a-88d3-ea54d84f6b24,6afe8e180e82672740b15051fac19aeac0bdd65d67deecd0eb99aa568deaacc0
,53,june-binary-monk,june binary monk,She has a twin thats from Tibet .,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:money;,102c4cdb-f812-44fd-bf47-5065284c6075,cca064364893af7946ce982482c5cf14eb27d583d2b10b8efeab3977278cde38
,54,aisha-crows-damsel,aisha crows damsel,She is always a damsel in distress.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:food;,c4071af3-b49e-4ad6-898b-7828f90465fb,9757c46404954cbb36ab7ba8dee64c728c875c7b2f7a08601e036a57a62965d2
,55,bobo-crypto-lovely,bobo crypto lovely,She is a crpto guru you can trust all through.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:wate;,427ea0f5-30a3-4d70-a5bd-a6106409b83c,0c69f290120f50b3244c644270d908723e50e3c7cd1c6b00d20199419355f543
,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:love;,9dfe30b4-c71a-471c-8091-f5c4a238eed8,72b16ae9b6e5e3a7c2d635096058a032667a3230da736ea3b8668b20587a99c1
,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:walls;,11450acd-f0d7-406f-bc18-bdb680404845,a196c723688e5cf3e65015a58714b118d025da7f8a31534c9f2ec586fac72c9b
,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion stye.,Female,hair: pink; eyes:blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:shy;,63bda633-bfca-4b28-823f-7772936b4103,37080bcdf112a72f36271a18f5d2c7f16ad3ecfb97f448996d3ad6e41d1243e0
,59,bree-busy-gossip,bree busy gossip,Never wisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height;,4f5898d9-fc99-4053-a56c-b2ec1ef41347,7fcc1991f1016d7158adc4c0727cda0d85080b98b3aba8de86a996903ad238e6
,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water;,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,8402f37a54c71f7d7ddea018662576907a9347b07c0f4446ecb31dbc98f2d62a
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strengths: powerful; weakness: sentimental;,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,c4f09a530c07f1e5b10a158c14c83d23bcd33f9333c84ccf3c0d401547ec9c16
,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strengths: calculative; weakness: public speaking;,58f69cae-59d1-11ed-9b6a-0242ac120002,d19b2145dd8908b81d2308813b8104c84a8ecf8796332bb732ce1b16adc7959d
,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strengths: free spirit; weakness: blind ;,24b537fa-59d3-11ed-9b6a-0242ac120002,8e9a9f86a68e24f90d0b805610551953f61bc1acfee8d806d41c4da7ccd383dc
,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strengths: adaptation; weakness: fluency;,064c7b84-59d3-11ed-9b6a-0242ac120002,8a02eb633ffcebbf3001735c18c2ae450b16a0947e997195d9217ade2a6fc191
,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strengths: cool headed; weakness: pressure;,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,c52c42f223297cec5176c9098991eb3afd9bf2c7a0d347f357c709a60071f286
,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strengths: confidence; weakness: endurance;,2f1a1724-59d3-11ed-9b6a-0242ac120002,57dee3785b0f897a7e1ab43ecd2a6015b609ac9c22d6ca9f93768f4394d80113
,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship;,d04553b2-59d7-11ed-9b6a-0242ac120002,89a25d1e9b84fc79aed3f462c20d67052f35dc3feb4b7f99e400dcfee312f88a
,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expressions: cold; strength: cleaniness; weakness: perfectionist;,5d19795e-59d2-11ed-9b6a-0242ac120002,0bcc5d95fa9452e93df4959f9b9cc321aead5499681bcd05fa4ca9a8972b2fb8
,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer;,29c764ca-59d3-11ed-9b6a-0242ac120002,ebce182e8c4cee128e4dab6290ec0f8d87bc67cc3b0eb1ef10b6a6b321e77d14
,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger;,ee671c4a-59d2-11ed-9b6a-0242ac120002,00117f46aabffb6d62169c90b111fbe3ee0b6294f5186d5c9885e35b6f018a1e
,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl;,380e4990-59d3-11ed-9b6a-0242ac120002,d3e97aa38843909459f7d587d31a0921806dc382e56b1a8af98f148355d336dc
,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping;,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,7fae07d0faffc79ce2229bf669f1dfab14fc4a19da19a0052946745b8178c5d4
,73,cally-lily,cally lily,A man who is a breath of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun;,82bba87c-59d1-11ed-9b6a-0242ac120002,cf9383b8492f189cf84ddf8077897de5971047c72f3625fdf5fc82929a3dcd86
,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie;,faa4b530-59d2-11ed-9b6a-0242ac120002,9fb455ab02594fa69bfa593dd61f94de251cb79b6d84c5465c4a25a548780c40
,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational;,fb6e8222-59d0-11ed-9b6a-0242ac120002,fa7b6f895efe5915eafadfd22c6b44577a76c9a3ac76d50d5be63a052f137dc5
,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia;,169f93a0-59d2-11ed-9b6a-0242ac120002,324cc5f8ff748868f70f605cd14d10fd6f71bac7452b4ab52e9f2bf0b7f555e1
,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness;,e7f26b26-59d2-11ed-9b6a-0242ac120002,d0e1ef509a2cd7bc1871fe3721047d4ebb67054c8701382821ad720a6638c2bb
,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist;,169f93a0-59d2-11ed-9b6a-0242ac120002,86c2834f9c043c4f26bc11c09313a8beb1b56a1f570aa251b4c96e8c867aed9d
,79,agnar-ole,agnar ole,A man who feels like an outcast and always has a battle with his mind,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying;,f3f11fd0-59d2-11ed-9b6a-0242ac120002,8281fcaab926cf2a93f904bb4e9966bc324614afb8eeb40b289e82f3fcc9bfc3
,80,adom-kulu,adom kulu,A ghanaian model; proud of his culture,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride;,00f6589e-59d3-11ed-9b6a-0242ac120002,bb6812be5b923819d35ee357a6fbd93c1f0874e50f01cd240d35738008c4b4d4
TEAM PRYBAR,81,segun-baller,segun baller,A man who loves to have fun.,Male,hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant;,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,cd3c28fe9b7a63d716e0846cd401f233f8a901256ba3c22997240028acb17c0e
,82,bolanle-pepper-dem,bolanle pepper dem,A lady that loves to show off.,Male,hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender;,46966104-775b-4443-90bb-b35afd121653,12d9bbac81669e6f5fffeb4c45df64f6546f3843fec101e37415752e7c6b5d70
